State,County,Month,Avg Daily Max Air Temperature (F),Avg Daily Min Air Temperature (F)
Alabama,"Bullock County, AL",5,81.59,62.89
Alabama,"Bullock County, AL",6,87.46,71.46
Alabama,"Bullock County, AL",7,89.58,75.25
Alabama,"Bullock County, AL",8,89.45,75.16
Alabama,"Bullock County, AL",9,85.11,68.04
Alabama,"Bullock County, AL",10,76.38,55.45
Alabama,"Bullock County, AL",11,66.71,45.71
Alabama,"Bullock County, AL",12,57.95,38.69
Alabama,"Bullock County, AL",,74.23,55.7
Alabama,"Butler County, AL",1,56.37,37.41
Alabama,"Butler County, AL",2,60.44,40.7
Alabama,"Butler County, AL",3,67.23,46.68
Alabama,"Butler County, AL",4,74.24,53.47
Alabama,"Butler County, AL",5,81.59,63.23
Alabama,"Butler County, AL",6,87,71.39
Alabama,"Butler County, AL",7,89.05,75.2
Alabama,"Butler County, AL",8,88.94,74.95
Alabama,"Butler County, AL",9,84.78,68.27
Alabama,"Butler County, AL",10,76.24,55.91
Alabama,"Butler County, AL",11,66.96,46.45
Alabama,"Butler County, AL",12,58.77,39.61
Alabama,"Butler County, AL",,74.36,56.18
Alabama,"Calhoun County, AL",1,50.31,32.8
Alabama,"Calhoun County, AL",2,54.82,36.33
Alabama,"Calhoun County, AL",3,62.67,42.91
Alabama,"Calhoun County, AL",4,70.51,50.76
Alabama,"Calhoun County, AL",5,78.3,60.99
Alabama,"Calhoun County, AL",6,84.93,69.53
Alabama,"Calhoun County, AL",7,87.77,73.75
Alabama,"Calhoun County, AL",8,88.18,73.49
Alabama,"Calhoun County, AL",9,82.7,65.08
Alabama,"Calhoun County, AL",10,72.8,52.57
Alabama,"Calhoun County, AL",11,62.49,42.99
Alabama,"Calhoun County, AL",12,53.15,35.51
Alabama,"Calhoun County, AL",,70.79,53.14
Alabama,"Chambers County, AL",1,52.41,35.07
Alabama,"Chambers County, AL",2,56.75,38.26
Alabama,"Chambers County, AL",3,64.22,44.6
Alabama,"Chambers County, AL",4,71.75,52.05
Alabama,"Chambers County, AL",5,79.33,62.06
Alabama,"Chambers County, AL",6,85.66,70.41
Alabama,"Chambers County, AL",7,88.33,74.34
Alabama,"Chambers County, AL",8,88.4,74.31
Alabama,"Chambers County, AL",9,83.3,66.7
Alabama,"Chambers County, AL",10,73.95,54.49
Alabama,"Chambers County, AL",11,64.16,44.81
Alabama,"Chambers County, AL",12,55.17,37.58
Alabama,"Chambers County, AL",,72.02,54.64
Alabama,"Cherokee County, AL",1,49.29,32.74
Alabama,"Cherokee County, AL",2,53.67,36.15
Alabama,"Cherokee County, AL",3,61.52,42.7
Alabama,"Cherokee County, AL",4,69.53,50.89
Alabama,"Cherokee County, AL",5,77.55,60.9
Alabama,"Cherokee County, AL",6,84.36,69.28
Alabama,"Cherokee County, AL",7,87.28,73.42
Alabama,"Cherokee County, AL",8,87.52,73.09
Alabama,"Cherokee County, AL",9,81.84,64.99
Alabama,"Cherokee County, AL",10,71.85,52.79
Alabama,"Cherokee County, AL",11,61.51,43.31
Alabama,"Cherokee County, AL",12,52.04,35.61
Alabama,"Cherokee County, AL",,69.9,53.07
Alabama,"Chilton County, AL",1,53.09,35.21
Alabama,"Chilton County, AL",2,57.48,38.63
Alabama,"Chilton County, AL",3,64.85,44.85
Alabama,"Chilton County, AL",4,72.45,52.15
Alabama,"Chilton County, AL",5,80.02,62.22
Alabama,"Chilton County, AL",6,86.01,70.56
Alabama,"Chilton County, AL",7,88.61,74.84
Alabama,"Chilton County, AL",8,88.89,74.46
Alabama,"Chilton County, AL",9,83.97,66.8
Alabama,"Chilton County, AL",10,74.69,54.47
Alabama,"Chilton County, AL",11,64.57,44.95
Alabama,"Chilton County, AL",12,55.66,37.6
Alabama,"Chilton County, AL",,72.59,54.81
Alabama,"Choctaw County, AL",1,56.22,36.14
Alabama,"Choctaw County, AL",2,60.36,39.6
Alabama,"Choctaw County, AL",3,67.77,45.6
Alabama,"Choctaw County, AL",4,74.72,51.87
Alabama,"Choctaw County, AL",5,81.96,62.06
Alabama,"Choctaw County, AL",6,87.61,70.82
Alabama,"Choctaw County, AL",7,90.01,75.2
Alabama,"Choctaw County, AL",8,90.18,74.88
Alabama,"Choctaw County, AL",9,85.63,67.05
Alabama,"Choctaw County, AL",10,76.85,54.51
Alabama,"Choctaw County, AL",11,67.32,45.1
Alabama,"Choctaw County, AL",12,58.87,38.26
Alabama,"Choctaw County, AL",,74.86,55.17
Alabama,"Clarke County, AL",1,57.24,36.66
Alabama,"Clarke County, AL",2,61.23,40.05
Alabama,"Clarke County, AL",3,68.47,45.96
Alabama,"Clarke County, AL",4,75.29,52.18
Alabama,"Clarke County, AL",5,82.35,62.19
Alabama,"Clarke County, AL",6,87.75,70.83
Alabama,"Clarke County, AL",7,89.96,75.12
Alabama,"Clarke County, AL",8,90.06,74.92
Alabama,"Clarke County, AL",9,85.78,67.42
Alabama,"Clarke County, AL",10,77.48,54.71
Alabama,"Clarke County, AL",11,68.15,45.42
Alabama,"Clarke County, AL",12,59.83,38.74
Alabama,"Clarke County, AL",,75.36,55.43
Alabama,"Clay County, AL",1,50.39,33.2
Alabama,"Clay County, AL",2,54.81,36.63
Alabama,"Clay County, AL",3,62.41,43.08
Alabama,"Clay County, AL",4,70.04,50.77
Alabama,"Clay County, AL",5,77.67,60.72
Alabama,"Clay County, AL",6,84.07,69.07
Alabama,"Clay County, AL",7,86.82,73.09
Alabama,"Clay County, AL",8,87.13,72.92
Alabama,"Clay County, AL",9,81.89,65
Alabama,"Clay County, AL",10,72.29,52.75
Alabama,"Clay County, AL",11,62.27,43.24
Alabama,"Clay County, AL",12,53.2,35.89
Alabama,"Clay County, AL",,70.32,53.11
Alabama,"Cleburne County, AL",1,49.47,32.3
Alabama,"Cleburne County, AL",2,53.88,35.75
Alabama,"Cleburne County, AL",3,61.66,42.26
Alabama,"Cleburne County, AL",4,69.49,50.2
Alabama,"Cleburne County, AL",5,77.26,60.21
Alabama,"Cleburne County, AL",6,83.92,68.65
Alabama,"Cleburne County, AL",7,86.8,72.81
Alabama,"Cleburne County, AL",8,87.12,72.58
Alabama,"Cleburne County, AL",9,81.62,64.42
Alabama,"Cleburne County, AL",10,71.73,52.03
Alabama,"Cleburne County, AL",11,61.56,42.52
Alabama,"Cleburne County, AL",12,52.26,35.04
Alabama,"Cleburne County, AL",,69.8,52.48
Alabama,"Coffee County, AL",1,57.19,38.79
Alabama,"Coffee County, AL",2,61.42,41.94
Alabama,"Coffee County, AL",3,68.27,47.92
Alabama,"Coffee County, AL",4,75.15,54.63
Alabama,"Coffee County, AL",5,82.48,64.35
Alabama,"Coffee County, AL",6,87.73,72.39
Alabama,"Coffee County, AL",7,89.38,75.75
Alabama,"Coffee County, AL",8,89.26,75.79
Alabama,"Coffee County, AL",9,85.27,69.44
Alabama,"Coffee County, AL",10,77.01,57.21
Alabama,"Coffee County, AL",11,67.87,47.75
Alabama,"Coffee County, AL",12,59.7,40.93
Alabama,"Coffee County, AL",,75.12,57.31
Alabama,"Colbert County, AL",1,48.47,32.56
Alabama,"Colbert County, AL",2,53.08,35.97
Alabama,"Colbert County, AL",3,61.34,43.07
Alabama,"Colbert County, AL",4,69.72,51.4
Alabama,"Colbert County, AL",5,77.59,61.26
Alabama,"Colbert County, AL",6,84.72,70
Alabama,"Colbert County, AL",7,87.87,74.2
Alabama,"Colbert County, AL",8,88.37,73.46
Alabama,"Colbert County, AL",9,82.38,64.95
Alabama,"Colbert County, AL",10,72.12,53.06
Alabama,"Colbert County, AL",11,61.27,43.57
Alabama,"Colbert County, AL",12,51.44,35.41
Alabama,"Colbert County, AL",,69.94,53.33
Alabama,"Conecuh County, AL",1,57.45,38.5
Alabama,"Conecuh County, AL",2,61.37,41.79
Alabama,"Conecuh County, AL",3,68.13,47.77
Alabama,"Conecuh County, AL",4,74.82,54.48
Alabama,"Conecuh County, AL",5,81.98,64.07
Alabama,"Conecuh County, AL",6,87.22,72.07
Alabama,"Conecuh County, AL",7,89.05,75.67
Alabama,"Conecuh County, AL",8,88.99,75.44
Alabama,"Conecuh County, AL",9,84.97,68.96
Alabama,"Conecuh County, AL",10,76.82,56.87
Alabama,"Conecuh County, AL",11,67.94,47.52
Alabama,"Conecuh County, AL",12,59.95,40.69
Alabama,"Conecuh County, AL",,74.95,57.06
Alabama,"Coosa County, AL",1,52.51,35.06
Alabama,"Coosa County, AL",2,56.88,38.47
Alabama,"Coosa County, AL",3,64.36,44.86
Alabama,"Coosa County, AL",4,71.93,52.25
Alabama,"Coosa County, AL",5,79.51,62.24
Alabama,"Coosa County, AL",6,85.64,70.52
Alabama,"Coosa County, AL",7,88.31,74.61
Alabama,"Coosa County, AL",8,88.58,74.45
Alabama,"Coosa County, AL",9,83.52,66.76
Alabama,"Coosa County, AL",10,74.24,54.61
Alabama,"Coosa County, AL",11,64.21,45.07
Alabama,"Coosa County, AL",12,55.24,37.71
Alabama,"Coosa County, AL",,72.14,54.8
Alabama,"Covington County, AL",1,58.18,38.46
Alabama,"Covington County, AL",2,62.12,41.54
Alabama,"Covington County, AL",3,68.69,47.46
Alabama,"Covington County, AL",4,75.29,54.02
Alabama,"Covington County, AL",5,82.55,63.71
Alabama,"Covington County, AL",6,87.77,72.08
Alabama,"Covington County, AL",7,89.31,75.56
Alabama,"Covington County, AL",8,89.11,75.55
Alabama,"Covington County, AL",9,85.3,69.22
Alabama,"Covington County, AL",10,77.2,56.72
Alabama,"Covington County, AL",11,68.49,47.17
Alabama,"Covington County, AL",12,60.64,40.44
Alabama,"Covington County, AL",,75.45,56.9
Alabama,"Crenshaw County, AL",1,56.01,37.25
Alabama,"Crenshaw County, AL",2,60.16,40.48
Alabama,"Crenshaw County, AL",3,67.11,46.41
Alabama,"Crenshaw County, AL",4,74.16,53.2
Alabama,"Crenshaw County, AL",5,81.63,63.11
Alabama,"Crenshaw County, AL",6,87.1,71.34
Alabama,"Crenshaw County, AL",7,89.02,75.01
Alabama,"Crenshaw County, AL",8,88.86,74.84
Alabama,"Crenshaw County, AL",9,84.72,68.21
Alabama,"Crenshaw County, AL",10,76.24,55.86
Alabama,"Crenshaw County, AL",11,66.85,46.29
Alabama,"Crenshaw County, AL",12,58.54,39.35
Alabama,"Crenshaw County, AL",,74.26,56.02
Alabama,"Cullman County, AL",1,49.36,32.25
Alabama,"Cullman County, AL",2,53.95,35.7
Alabama,"Cullman County, AL",3,61.86,42.42
Alabama,"Cullman County, AL",4,69.95,50.45
Alabama,"Cullman County, AL",5,77.8,60.63
Alabama,"Cullman County, AL",6,84.55,69.33
Alabama,"Cullman County, AL",7,87.46,73.59
Alabama,"Cullman County, AL",8,88.09,73.1
Alabama,"Cullman County, AL",9,82.36,64.5
Alabama,"Cullman County, AL",10,72.28,52.24
Alabama,"Cullman County, AL",11,61.65,42.78
Alabama,"Cullman County, AL",12,52.18,35.06
Alabama,"Cullman County, AL",,70.2,52.75
Alabama,"Dale County, AL",1,57.52,39.24
Alabama,"Dale County, AL",2,61.87,42.3
Alabama,"Dale County, AL",3,68.81,48.26
Alabama,"Dale County, AL",4,75.63,54.99
Alabama,"Dale County, AL",5,82.95,64.73
Alabama,"Dale County, AL",6,88.19,72.78
Alabama,"Dale County, AL",7,89.72,76.07
Alabama,"Dale County, AL",8,89.51,76.09
Alabama,"Dale County, AL",9,85.65,69.78
Alabama,"Dale County, AL",10,77.45,57.53
Alabama,"Dale County, AL",11,68.35,48.13
Alabama,"Dale County, AL",12,60.07,41.35
Alabama,"Dale County, AL",,75.53,57.68
Alabama,"Dallas County, AL",1,55.48,36.15
Alabama,"Dallas County, AL",2,59.8,39.32
Alabama,"Dallas County, AL",3,67.02,45.14
Alabama,"Dallas County, AL",4,74.45,51.82
Alabama,"Dallas County, AL",5,81.99,62.24
Alabama,"Dallas County, AL",6,87.78,70.95
Alabama,"Dallas County, AL",7,90.21,75.46
Alabama,"Dallas County, AL",8,90.27,75.01
Alabama,"Dallas County, AL",9,85.77,67.38
Alabama,"Dallas County, AL",10,76.74,54.57
Alabama,"Dallas County, AL",11,66.7,45.01
Alabama,"Dallas County, AL",12,57.93,38.06
Alabama,"Dallas County, AL",,74.57,55.17
Alabama,"DeKalb County, AL",1,47.13,31.72
Alabama,"DeKalb County, AL",2,51.46,35.13
Alabama,"DeKalb County, AL",3,59.21,41.84
Alabama,"DeKalb County, AL",4,67.25,50.12
Alabama,"DeKalb County, AL",5,75.34,59.89
Alabama,"DeKalb County, AL",6,82.15,68.11
Alabama,"DeKalb County, AL",7,85.05,72.01
Alabama,"DeKalb County, AL",8,85.43,71.66
Alabama,"DeKalb County, AL",9,79.7,64.02
Alabama,"DeKalb County, AL",10,69.69,52.4
Alabama,"DeKalb County, AL",11,59.31,42.88
Alabama,"DeKalb County, AL",12,49.86,34.76
Alabama,"DeKalb County, AL",,67.71,52.13
Alabama,"Elmore County, AL",1,54.18,35.93
Alabama,"Elmore County, AL",2,58.53,39.28
Alabama,"Elmore County, AL",3,65.95,45.44
Alabama,"Elmore County, AL",4,73.44,52.55
Alabama,"Elmore County, AL",5,81.1,62.82
Alabama,"Elmore County, AL",6,87.1,71.2
Alabama,"Elmore County, AL",7,89.53,75.29
Alabama,"Elmore County, AL",8,89.76,75.27
Alabama,"Elmore County, AL",9,84.97,67.84
Alabama,"Elmore County, AL",10,75.76,55.26
Alabama,"Elmore County, AL",11,65.81,45.64
Alabama,"Elmore County, AL",12,56.92,38.37
Alabama,"Elmore County, AL",,73.65,55.49
Alabama,"Escambia County, AL",1,58.59,39.25
Alabama,"Escambia County, AL",2,62.34,42.37
Alabama,"Escambia County, AL",3,68.97,48.19
Alabama,"Escambia County, AL",4,75.6,54.82
Alabama,"Escambia County, AL",5,82.47,64.35
Alabama,"Escambia County, AL",6,87.56,72.46
Alabama,"Escambia County, AL",7,89.14,75.95
Alabama,"Escambia County, AL",8,89.08,75.86
Alabama,"Escambia County, AL",9,85.25,69.49
Alabama,"Escambia County, AL",10,77.61,57.38
Alabama,"Escambia County, AL",11,68.85,47.93
Alabama,"Escambia County, AL",12,61.1,41.34
Alabama,"Escambia County, AL",,75.6,57.52
Alabama,"Etowah County, AL",1,49.61,32.57
Alabama,"Etowah County, AL",2,54.08,36.05
Alabama,"Etowah County, AL",3,62.01,42.62
Alabama,"Etowah County, AL",4,69.97,50.7
Alabama,"Etowah County, AL",5,77.9,60.82
Alabama,"Etowah County, AL",6,84.59,69.32
Alabama,"Etowah County, AL",7,87.41,73.53
Alabama,"Etowah County, AL",8,87.92,73.24
Alabama,"Etowah County, AL",9,82.3,64.89
Alabama,"Etowah County, AL",10,72.35,52.62
Alabama,"Etowah County, AL",11,61.89,43.02
Alabama,"Etowah County, AL",12,52.45,35.41
Alabama,"Etowah County, AL",,70.28,52.98
Alabama,"Fayette County, AL",1,51.29,33.73
Alabama,"Fayette County, AL",2,55.9,37.25
Alabama,"Fayette County, AL",3,63.96,44.03
Alabama,"Fayette County, AL",4,71.58,51.55
Alabama,"Fayette County, AL",5,79.05,61.49
Alabama,"Fayette County, AL",6,85.42,70.14
Alabama,"Fayette County, AL",7,88.61,74.67
Alabama,"Fayette County, AL",8,89.18,74.09
Alabama,"Fayette County, AL",9,83.65,65.68
Alabama,"Fayette County, AL",10,73.96,53.43
Alabama,"Fayette County, AL",11,63.55,44.02
Alabama,"Fayette County, AL",12,54.29,36.46
Alabama,"Fayette County, AL",,71.78,53.96
Alabama,"Franklin County, AL",1,48.6,32.37
Alabama,"Franklin County, AL",2,53.18,35.87
Alabama,"Franklin County, AL",3,61.36,42.93
Alabama,"Franklin County, AL",4,69.52,51.1
Alabama,"Franklin County, AL",5,77.28,61.01
Alabama,"Franklin County, AL",6,84.23,69.68
Alabama,"Franklin County, AL",7,87.45,73.92
Alabama,"Franklin County, AL",8,87.97,73.21
Alabama,"Franklin County, AL",9,82.13,64.77
Alabama,"Franklin County, AL",10,71.89,52.85
Alabama,"Franklin County, AL",11,61.26,43.36
Alabama,"Franklin County, AL",12,51.55,35.27
Alabama,"Franklin County, AL",,69.78,53.11
Alabama,"Geneva County, AL",1,58.96,39.54
Alabama,"Geneva County, AL",2,63.07,42.52
Alabama,"Geneva County, AL",3,69.67,48.23
Alabama,"Geneva County, AL",4,76.18,54.74
Alabama,"Geneva County, AL",5,83.54,64.46
Alabama,"Geneva County, AL",6,88.76,72.76
Alabama,"Geneva County, AL",7,90.03,76.04
Alabama,"Geneva County, AL",8,89.69,76.1
Alabama,"Geneva County, AL",9,86.11,69.95
Alabama,"Geneva County, AL",10,78.16,57.36
Alabama,"Geneva County, AL",11,69.41,47.99
Alabama,"Geneva County, AL",12,61.43,41.43
Alabama,"Geneva County, AL",,76.31,57.67
Alabama,"Greene County, AL",1,54.06,34.81
Alabama,"Greene County, AL",2,58.56,38.3
Alabama,"Greene County, AL",3,66.23,44.41
Alabama,"Greene County, AL",4,73.78,50.92
Alabama,"Greene County, AL",5,81.4,61.47
Alabama,"Greene County, AL",6,87.46,70.35
Alabama,"Greene County, AL",7,90.19,75.06
Alabama,"Greene County, AL",8,90.51,74.5
Alabama,"Greene County, AL",9,85.52,66.08
Alabama,"Greene County, AL",10,76.07,53.44
Alabama,"Greene County, AL",11,65.65,44.01
Alabama,"Greene County, AL",12,56.8,37.12
Alabama,"Greene County, AL",,73.92,54.28
Alabama,"Hale County, AL",1,54.15,35.21
Alabama,"Hale County, AL",2,58.61,38.59
Alabama,"Hale County, AL",3,66.2,44.55
Alabama,"Hale County, AL",4,73.75,51.14
Alabama,"Hale County, AL",5,81.4,61.62
Alabama,"Hale County, AL",6,87.46,70.47
Alabama,"Hale County, AL",7,90.1,75.14
Alabama,"Hale County, AL",8,90.33,74.67
Alabama,"Hale County, AL",9,85.45,66.47
Alabama,"Hale County, AL",10,76.07,53.88
Alabama,"Hale County, AL",11,65.72,44.39
Alabama,"Hale County, AL",12,56.8,37.49
Alabama,"Hale County, AL",,73.9,54.55
Alabama,"Henry County, AL",1,57.07,38.81
Alabama,"Henry County, AL",2,61.39,41.91
Alabama,"Henry County, AL",3,68.48,47.98
Alabama,"Henry County, AL",4,75.4,54.84
Alabama,"Henry County, AL",5,82.92,64.63
Alabama,"Henry County, AL",6,88.23,72.73
Alabama,"Henry County, AL",7,89.82,76.01
Alabama,"Henry County, AL",8,89.55,75.99
Alabama,"Henry County, AL",9,85.72,69.57
Alabama,"Henry County, AL",10,77.44,57.24
Alabama,"Henry County, AL",11,68.27,47.87
Alabama,"Henry County, AL",12,59.75,40.9
Alabama,"Henry County, AL",,75.4,57.45
Alabama,"Houston County, AL",1,59.04,39.7
Alabama,"Houston County, AL",2,63.26,42.72
Alabama,"Houston County, AL",3,69.9,48.45
Alabama,"Houston County, AL",4,76.54,55.06
Alabama,"Houston County, AL",5,83.92,64.77
Alabama,"Houston County, AL",6,88.92,72.93
Alabama,"Houston County, AL",7,90.18,76.05
Alabama,"Houston County, AL",8,89.8,76.12
Alabama,"Houston County, AL",9,86.39,70.18
Alabama,"Houston County, AL",10,78.53,57.75
Alabama,"Houston County, AL",11,69.77,48.44
Alabama,"Houston County, AL",12,61.61,41.62
Alabama,"Houston County, AL",,76.55,57.89
Alabama,"Jackson County, AL",1,47.27,31.52
Alabama,"Jackson County, AL",2,51.7,34.91
Alabama,"Jackson County, AL",3,59.51,41.52
Alabama,"Jackson County, AL",4,67.67,49.67
Alabama,"Jackson County, AL",5,75.79,59.46
Alabama,"Jackson County, AL",6,82.7,67.97
Alabama,"Jackson County, AL",7,85.64,72.04
Alabama,"Jackson County, AL",8,86.06,71.57
Alabama,"Jackson County, AL",9,80.26,63.64
Alabama,"Jackson County, AL",10,70.16,51.85
Alabama,"Jackson County, AL",11,59.64,42.43
Alabama,"Jackson County, AL",12,50.14,34.54
Alabama,"Jackson County, AL",,68.12,51.84
Alabama,"Jefferson County, AL",1,51.56,34.14
Alabama,"Jefferson County, AL",2,56.05,37.62
Alabama,"Jefferson County, AL",3,63.72,44.25
Alabama,"Jefferson County, AL",4,71.31,51.88
Alabama,"Jefferson County, AL",5,78.9,61.82
Alabama,"Jefferson County, AL",6,85.29,70.22
Alabama,"Jefferson County, AL",7,88.31,74.59
Alabama,"Jefferson County, AL",8,88.73,74.14
Alabama,"Jefferson County, AL",9,83.28,66.06
Alabama,"Jefferson County, AL",10,73.65,53.97
Alabama,"Jefferson County, AL",11,63.4,44.43
Alabama,"Jefferson County, AL",12,54.31,36.9
Alabama,"Jefferson County, AL",,71.61,54.25
Alabama,"Lamar County, AL",1,51.42,33.23
Alabama,"Lamar County, AL",2,56.15,36.87
Alabama,"Lamar County, AL",3,64.15,43.34
Alabama,"Lamar County, AL",4,71.99,50.52
Alabama,"Lamar County, AL",5,79.66,60.89
Alabama,"Lamar County, AL",6,86.11,69.77
Alabama,"Lamar County, AL",7,89.2,74.3
Alabama,"Lamar County, AL",8,89.74,73.58
Alabama,"Lamar County, AL",9,84.15,64.94
Alabama,"Lamar County, AL",10,74.32,52.44
Alabama,"Lamar County, AL",11,63.66,43.12
Alabama,"Lamar County, AL",12,54.41,35.82
Alabama,"Lamar County, AL",,72.15,53.32
Alabama,"Lauderdale County, AL",1,47.66,31.99
Alabama,"Lauderdale County, AL",2,52.26,35.4
Alabama,"Lauderdale County, AL",3,60.61,42.54
Alabama,"Lauderdale County, AL",4,69.26,51.02
Alabama,"Lauderdale County, AL",5,77.24,60.85
Alabama,"Lauderdale County, AL",6,84.38,69.54
Alabama,"Lauderdale County, AL",7,87.58,73.79
Alabama,"Lauderdale County, AL",8,88.02,73.01
Alabama,"Lauderdale County, AL",9,81.95,64.5
Alabama,"Lauderdale County, AL",10,71.63,52.62
Alabama,"Lauderdale County, AL",11,60.6,43.15
Alabama,"Lauderdale County, AL",12,50.69,34.91
Alabama,"Lauderdale County, AL",,69.4,52.86
Alabama,"Lawrence County, AL",1,48.5,32.24
Alabama,"Lawrence County, AL",2,53.11,35.61
Alabama,"Lawrence County, AL",3,61.32,42.54
Alabama,"Lawrence County, AL",4,69.72,50.82
Alabama,"Lawrence County, AL",5,77.68,61.06
Alabama,"Lawrence County, AL",6,84.63,69.82
Alabama,"Lawrence County, AL",7,87.56,73.99
Alabama,"Lawrence County, AL",8,88.12,73.27
Alabama,"Lawrence County, AL",9,82.28,64.58
Alabama,"Lawrence County, AL",10,72,52.43
Alabama,"Lawrence County, AL",11,61.15,42.97
Alabama,"Lawrence County, AL",12,51.44,35.03
Alabama,"Lawrence County, AL",,69.87,52.95
Alabama,"Lee County, AL",1,53.6,35.83
Alabama,"Lee County, AL",2,58.03,39.12
Alabama,"Lee County, AL",3,65.4,45.36
Alabama,"Lee County, AL",4,72.79,52.52
Alabama,"Lee County, AL",5,80.38,62.59
Alabama,"Lee County, AL",6,86.6,71.11
Alabama,"Lee County, AL",7,88.95,74.9
Alabama,"Lee County, AL",8,88.96,74.94
Alabama,"Lee County, AL",9,84.18,67.55
Alabama,"Lee County, AL",10,75.01,55.11
Alabama,"Lee County, AL",11,65.28,45.36
Alabama,"Lee County, AL",12,56.37,38.19
Alabama,"Lee County, AL",,73.03,55.29
Alabama,"Limestone County, AL",1,47.69,31.66
Alabama,"Limestone County, AL",2,52.35,35.07
Alabama,"Limestone County, AL",3,60.7,41.95
Alabama,"Limestone County, AL",4,69.27,50.28
Alabama,"Limestone County, AL",5,77.42,60.51
Alabama,"Limestone County, AL",6,84.49,69.31
Alabama,"Limestone County, AL",7,87.5,73.56
Alabama,"Limestone County, AL",8,87.92,72.87
Alabama,"Limestone County, AL",9,81.97,64.24
Alabama,"Limestone County, AL",10,71.64,52.05
Alabama,"Limestone County, AL",11,60.66,42.58
Alabama,"Limestone County, AL",12,50.79,34.55
Alabama,"Limestone County, AL",,69.44,52.47
Alabama,"Lowndes County, AL",1,55.69,36.71
Alabama,"Lowndes County, AL",2,59.95,39.9
Alabama,"Lowndes County, AL",3,67.07,45.8
Alabama,"Lowndes County, AL",4,74.37,52.66
Alabama,"Lowndes County, AL",5,81.93,62.9
Alabama,"Lowndes County, AL",6,87.66,71.37
Alabama,"Lowndes County, AL",7,89.93,75.54
Alabama,"Lowndes County, AL",8,89.91,75.2
Alabama,"Lowndes County, AL",9,85.53,68.02
Alabama,"Lowndes County, AL",10,76.65,55.36
